TERRITORIO#es,TERRITORIO_CODE,TIME_PERIOD#es,TIME_PERIOD_CODE,SEXO#es,SEXO_CODE,EDAD#es,EDAD_CODE,MEDIDAS#es,MEDIDAS_CODE,OBS_VALUE,ESTADO_OBSERVACION#es,CONFIDENCIALIDAD_OBSERVACION#es,NOTAS_OBSERVACION#es
Canarias,ES70,2020,2020,Total,_T,14 años,Y14,Tasa de idoneidad,TASA_IDONEIDAD,71.7,,,
Canarias,ES70,2021,2021,Mujeres,F,14 años,Y14,Tasa de idoneidad,TASA_IDONEIDAD,80.5,,,
Canarias,ES70,2021,2021,Hombres,M,14 años,Y14,Tasa de idoneidad,TASA_IDONEIDAD,71.8,,,
Canarias,ES70,2021,2021,Total,_T,14 años,Y14,Tasa de idoneidad,TASA_IDONEIDAD,76.1,,,
Canarias,ES70,2022,2022,Mujeres,F,14 años,Y14,Tasa de idoneidad,TASA_IDONEIDAD,80,,,
Canarias,ES70,2022,2022,Hombres,M,14 años,Y14,Tasa de idoneidad,TASA_IDONEIDAD,72.4,,,
Canarias,ES70,2022,2022,Total,_T,14 años,Y14,Tasa de idoneidad,TASA_IDONEIDAD,76.1,,,
Canarias,ES70,2023,2023,Mujeres,F,14 años,Y14,Tasa de idoneidad,TASA_IDONEIDAD,78.8,,,
Canarias,ES70,2023,2023,Hombres,M,14 años,Y14,Tasa de idoneidad,TASA_IDONEIDAD,71,,,
Canarias,ES70,2023,2023,Total,_T,14 años,Y14,Tasa de idoneidad,TASA_IDONEIDAD,74.8,,,
Canarias,ES70,1993,1993,Mujeres,F,12 años,Y12,Tasa de idoneidad,TASA_IDONEIDAD,70.6,,,
Canarias,ES70,1993,1993,Hombres,M,12 años,Y12,Tasa de idoneidad,TASA_IDONEIDAD,57.9,,,
Canarias,ES70,1993,1993,Total,_T,12 años,Y12,Tasa de idoneidad,TASA_IDONEIDAD,64.1,,,
Canarias,ES70,1994,1994,Mujeres,F,12 años,Y12,Tasa de idoneidad,TASA_IDONEIDAD,72.6,,,
Canarias,ES70,1994,1994,Hombres,M,12 años,Y12,Tasa de idoneidad,TASA_IDONEIDAD,58.3,,,
Canarias,ES70,1994,1994,Total,_T,12 años,Y12,Tasa de idoneidad,TASA_IDONEIDAD,65.3,,,
Canarias,ES70,1995,1995,Mujeres,F,12 años,Y12,Tasa de idoneidad,TASA_IDONEIDAD,73.7,,,
Canarias,ES70,1995,1995,Hombres,M,12 años,Y12,Tasa de idoneidad,TASA_IDONEIDAD,61.2,,,
Canarias,ES70,1995,1995,Total,_T,12 años,Y12,Tasa de idoneidad,TASA_IDONEIDAD,67.3,,,
Canarias,ES70,1996,1996,Mujeres,F,12 años,Y12,Tasa de idoneidad,TASA_IDONEIDAD,79.4,,,
Canarias,ES70,1996,1996,Hombres,M,12 años,Y12,Tasa de idoneidad,TASA_IDONEIDAD,68.9,,,
Canarias,ES70,1996,1996,Total,_T,12 años,Y12,Tasa de idoneidad,TASA_IDONEIDAD,74,,,
Canarias,ES70,1997,1997,Mujeres,F,12 años,Y12,Tasa de idoneidad,TASA_IDONEIDAD,81.7,,,
Canarias,ES70,1997,1997,Hombres,M,12 años,Y12,Tasa de idoneidad,TASA_IDONEIDAD,71.7,,,
Canarias,ES70,1997,1997,Total,_T,12 años,Y12,Tasa de idoneidad,TASA_IDONEIDAD,76.6,,,
Canarias,ES70,1998,1998,Mujeres,F,12 años,Y12,Tasa de idoneidad,TASA_IDONEIDAD,82.3,,,
Canarias,ES70,1998,1998,Hombres,M,12 años,Y12,Tasa de idoneidad,TASA_IDONEIDAD,74.3,,,
Canarias,ES70,1998,1998,Total,_T,12 años,Y12,Tasa de idoneidad,TASA_IDONEIDAD,78.3,,,
Canarias,ES70,1999,1999,Mujeres,F,12 años,Y12,Tasa de idoneidad,TASA_IDONEIDAD,84.5,,,
Canarias,ES70,1999,1999,Hombres,M,12 años,Y12,Tasa de idoneidad,TASA_IDONEIDAD,75.3,,,
Canarias,ES70,1999,1999,Total,_T,12 años,Y12,Tasa de idoneidad,TASA_IDONEIDAD,79.9,,,
Canarias,ES70,2000,2000,Mujeres,F,12 años,Y12,Tasa de idoneidad,TASA_IDONEIDAD,85.2,,,
Canarias,ES70,2000,2000,Hombres,M,12 años,Y12,Tasa de idoneidad,TASA_IDONEIDAD,76.3,,,
Canarias,ES70,2000,2000,Total,_T,12 años,Y12,Tasa de idoneidad,TASA_IDONEIDAD,80.7,,,
Canarias,ES70,2001,2001,Mujeres,F,12 años,Y12,Tasa de idoneidad,TASA_IDONEIDAD,86.1,,,
Canarias,ES70,2001,2001,Hombres,M,12 años,Y12,Tasa de idoneidad,TASA_IDONEIDAD,76.6,,,
Canarias,ES70,2001,2001,Total,_T,12 años,Y12,Tasa de idoneidad,TASA_IDONEIDAD,81.2,,,
